Category: All categories

Month,battle royale: (United States)
2004-01,32
2004-02,27
2004-03,18
2004-04,26
2004-05,21
2004-06,19
2004-07,17
2004-08,17
2004-09,10
2004-10,20
2004-11,13
2004-12,14
2005-01,13
2005-02,14
2005-03,15
2005-04,15
2005-05,13
2005-06,14
2005-07,12
2005-08,11
2005-09,10
2005-10,11
2005-11,10
2005-12,9
2006-01,9
2006-02,8
2006-03,9
2006-04,11
2006-05,10
2006-06,11
2006-07,9
2006-08,9
2006-09,9
2006-10,10
2006-11,6
2006-12,7
2007-01,7
2007-02,9
2007-03,9
2007-04,9
2007-05,8
2007-06,7
2007-07,6
2007-08,5
2007-09,6
2007-10,6
2007-11,6
2007-12,7
2008-01,7
2008-02,6
2008-03,5
2008-04,6
2008-05,5
2008-06,6
2008-07,6
2008-08,5
2008-09,5
2008-10,6
2008-11,5
2008-12,5
2009-01,6
2009-02,5
2009-03,6
2009-04,7
2009-05,5
2009-06,5
2009-07,6
2009-08,7
2009-09,5
2009-10,6
2009-11,5
2009-12,5
2010-01,6
2010-02,5
2010-03,5
2010-04,5
2010-05,6
2010-06,5
2010-07,4
2010-08,5
2010-09,5
2010-10,6
2010-11,5
2010-12,4
2011-01,6
2011-02,5
2011-03,5
2011-04,6
2011-05,6
2011-06,5
2011-07,6
2011-08,6
2011-09,5
2011-10,5
2011-11,9
2011-12,8
2012-01,11
2012-02,11
2012-03,56
2012-04,40
2012-05,23
2012-06,31
2012-07,32
2012-08,31
2012-09,34
2012-10,32
2012-11,46
2012-12,44
2013-01,28
2013-02,22
2013-03,20
2013-04,18
2013-05,15
2013-06,15
2013-07,14
2013-08,12
2013-09,9
2013-10,9
2013-11,15
2013-12,14
2014-01,10
2014-02,8
2014-03,9
2014-04,12
2014-05,12
2014-06,10
2014-07,10
2014-08,10
2014-09,10
2014-10,8
2014-11,11
2014-12,11
2015-01,10
2015-02,11
2015-03,10
2015-04,11
2015-05,10
2015-06,8
2015-07,9
2015-08,10
2015-09,8
2015-10,8
2015-11,8
2015-12,8
2016-01,9
2016-02,7
2016-03,13
2016-04,11
2016-05,8
2016-06,9
2016-07,9
2016-08,7
2016-09,6
2016-10,7
2016-11,7
2016-12,8
2017-01,8
2017-02,8
2017-03,12
2017-04,10
2017-05,8
2017-06,7
2017-07,8
2017-08,7
2017-09,25
2017-10,44
2017-11,44
2017-12,43
2018-01,70
2018-02,65
2018-03,86
2018-04,100
2018-05,91
2018-06,90
2018-07,71
2018-08,80
2018-09,82
2018-10,72
2018-11,63
2018-12,71
2019-01,48
2019-02,77
2019-03,44
2019-04,37
2019-05,36
2019-06,34
2019-07,29
2019-08,28
2019-09,26
2019-10,31
2019-11,28
2019-12,30
2020-01,31
2020-02,57
2020-03,54
2020-04,32
2020-05,30
2020-06,31
2020-07,28
2020-08,28
2020-09,28
2020-10,20
2020-11,19
2020-12,20
2021-01,20
2021-02,19
2021-03,18
2021-04,18
2021-05,17
2021-06,20
2021-07,18
2021-08,18
2021-09,20
2021-10,24
2021-11,17
2021-12,19
2022-01,18
2022-02,16
2022-03,13
